nazwa;long;lat;ocena;ilosc_recenzji;adres
Pijalnia Wódki i Piwa;17.032567800000002;51.110446;4.2;537.0;Rynek 13/14, 50-101 Wrocław
Forma Plynna;17.0571862;51.1079538;4.6;303.0;wybrzeże Stanisława Wyspiańskiego 20, 50-370 Wrocław
Pizzeria Bravo;17.0579052;51.1110568;4.0;587.0;plac Grunwaldzki 18, 48-300 Wrocław
Warzywniak;17.0579052;51.1110568;4.6;170.0;plac Grunwaldzki 18-20, 50-348 Wrocław
Remont Bar;17.0583858;51.1112105;4.4;374.0;plac Grunwaldzki 18, 48-300 Wrocław
ZZtop 2 zupy i zapiekanki;17.0572089;51.111962;4.3;29.0;Curie-Skłodowskiej 11/1, 50-381 Wrocław
Thali;17.0572089;51.111962;4.5;368.0;Curie-Skłodowskiej 5, 50-381 Wrocław
U Gruzina;17.0568548;51.1120851;4.5;360.0;Curie-Skłodowskiej 3, 50-381 Wrocław
Pizza Hut;17.0565367;51.1121848;4.2;431.0;Curie-Skłodowskiej 1, 50-381 Wrocław
Pub Studencki Przekręt;17.0564048;51.1121921;4.5;364.0;Curie-Skłodowskiej 1, 50-381 Wrocław
Frankie's;17.056834100000003;51.112359999999995;3.7;48.0;Curie-Skłodowskiej 12, 50-381 Wrocław
Bar obiadowy Swojska Chatka;17.0562586;51.112755799999995;4.1;37.0;Reja 2C, 48-300 Wrocław
Gluten Appetit;17.0561202;51.1128275;4.5;185.0;Szczytnicka 54/1b, 50-382 Wrocław
Bar Pho Viet;17.055937600000004;51.112886700000004;4.4;183.0;Ładna 1A, 50-353 Wrocław
Fabryka Spaghetti;17.055937600000004;51.112886700000004;2.9;69.0;Szczytnicka 54/1D, 50-382 Wrocław
Cybermachina;17.055764;51.1129667;4.6;528.0;Szczytnicka 52, 50-382 Wrocław
Pici Pasta Wratislavia;17.0542896;51.1133305;4.6;31.0;Szczytnicka 38 b, 50-382 Wrocław
Like It;17.0541022;51.1133571;4.5;71.0;Szczytnicka 36a, 48-300 Wrocław
Przełam Lody;17.0683133;51.1082989;4.5;473.0;Curie-Skłodowskiej 91, 50-001 Wrocław
Restauracja Przystanek ZOO | Wrocław;17.071267499999998;51.1070841;4.1;295.0;Wróblewskiego 1, 51-618 Wrocław
ZaZoo Beach Bar;17.068822100000002;51.1045223;4.5;581.0;Wybrzeże Wyspiańskiego 39E, 50-370 Wrocław
Karczma Koala Grill;17.0731533;51.1038317;3.2;93.0;Wróblewskiego 1-5, 50-001 Wrocław
Pergola;17.076976300000002;51.1073349;3.3;230.0;Wystawowa 1, 51-618 Wrocław
