nazwa;adres;strona_internetowa;lat;long;ocena;ilosc_recenzji;highlights;accessibility;Offerings;Dining_options;Amenities;Atmosphere;Crowd;Payments;open_hours_monday;close_monay;tuesday;close_tue;wednesday;closed_wed;thursday;closed_thu;friday;closed_fri;saturday;closed_sat;sunday;closed_sun;czy_sieciowka
Pijalnia Wódki i Piwa;Rynek 13/14, 50-101 Wrocław;NaN;51.110446;17.0325678;4,2;537;Great cocktails;Wheelchair accessible entrance;Beer,Wine;NaN;toilet;Casual;Groups;Nan;08:00:00;18:00:00;08:00:00;18:00:00;08:00:00;18:00:00;08:00:00;18:00:00;08:00:00;18:00:00;08:00:00;18:00:00;08:00:00;18:00:00;0
Forma Plynna;wybrzeże Stanisława Wyspiańskiego 20, 50-370 Wrocław;https://www.facebook.com/FormaPlynna/;51.1079538;17.0571862;4,6;303;Great cocktails;NaN;Beer,Wine;NaN;toilet;Casual,Cosy,Trending;Groups;NaN;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;0
Pizzeria Bravo;plac Grunwaldzki 18, 48-300 Wrocław;http://www.bravo.wroclaw.pl/;51.1110568;17.0579052;4;587;NaN;Wheelchair accessible entrance;Vegetarian options;delivery;Good for kids;Casual,Cosy;Groups;NaN;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;0
Warzywniak;plac Grunwaldzki 18-20, 50-348 Wrocław;NaN;51.1110568;17.0579052;4,6;170;Fireplace,Live music;Wheelchair accessible entrance;Beer,Halal food,late-night food,Vegetarian options;Breakfast,Lunch,Dinner,Catering,delivery,dessert,Seating;Good for kids;Casual,Cosy;Family friendly,Groups;Debit card;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;Closed;Closed;0
Remont Bar;plac Grunwaldzki 18, 48-300 Wrocław;https://www.facebook.com/Bar.Remont;51.1112105;17.0583858;4,4;374;Great cocktails,Sport;Wheelchair accessible entrance;Beer,Wine;toilet;NaN;Casual,Cosy;Groups;NaN;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;00:00:00;0
ZZtop 2 zupy i zapiekanki;Curie-Skłodowskiej 11/1, 50-381 Wrocław;https://www.facebook.com/zztopwroclaw/;51.111962;17.0572089;4,3;29;Karaoke;NaN;NaN;NaN;toilet;Casual,Cosy;NaN;debit card;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;19:00:00;Closed;Closed;0
Thali;Curie-Skłodowskiej 5, 50-381 Wrocław;https://www.facebook.com/thaliwroclove/;51.111962;17.0572089;4,5;368;NaN;NaN;Halal food,Kids' menu;delivery;toilet;Casual,Cosy;Groups;debit card;12:00:00;21:30:00;12:00:00;21:30:00;12:00:00;21:30:00;12:00:00;21:30:00;12:00:00;21:30:00;12:00:00;21:30:00;12:00:00;21:30:00;0
U Gruzina;Curie-Skłodowskiej 3, 50-381 Wrocław;NaN;51.1120851;17.0568548;4,5;360;NaN;NaN;Vegetarian options;NaN;NaN;Casual,Cosy;NaN;NaN;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;0
Pizza Hut;Curie-Skłodowskiej 1, 50-381 Wrocław;https://pizzahut.pl/#Choosedelivery;51.1121848;17.0565367;4,2;431;Fireplace,Live music,Outdoor seating;NaN;Halal food,Kids' menu,late-night food,Salad bar,Vegetarian options;delivery,dessert;Good for kids;Casual,Cosy;Groups;debit card;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;1
Pub Studencki Przekręt;Curie-Skłodowskiej 1, 50-381 Wrocław;https://www.facebook.com/PrzekretPubStudencki;51.1121921;17.0564048;4,5;364;Bar games, Great cocktails;NaN;Beer,Wine;NaN;toilet;Casual,Cosy;Groups;NaN;10:00:00;02:00:00;10:00:00;02:00:00;10:00:00;02:00:00;10:00:00;03:00:00;10:00:00;03:00:00;12:00:00;00:00:00;00:00:00;16:00:00;0
Frankie's;Curie-Skłodowskiej 12, 50-381 Wrocław;http://frankies.pl/;51.11236;17.0568341;3,7;48;NaN;NaN;NaN;NaN;NaN;Casual,Cosy;NaN;NaN;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;10:00:00;19:00:00;10:00:00;19:00:00;1
Bar obiadowy Swojska Chatka;Reja 2C, 48-300 Wrocław;http://swojskachatka.pl/;51.1127558;17.0562586;4,1;37;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;Closed;Closed;Closed;Closed;0
Gluten Appetit;Szczytnicka 54/1b, 50-382 Wrocław;https://www.facebook.com/pg/GlutenAppetitBistro/about/?ref=page_internal;51.1128275;17.0561202;4,5;185;NaN;NaN;Vegetarian options;Good for kids;NaN;Casual,Cosy;Groups;NaN;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;12:00:00;19:00:00;0
Bar Pho Viet;Ładna 1A, 50-353 Wrocław;https://barphoviet0.eatbu.com/;51.1128867;17.0559376;4,4;183;NaN;NaN;Vegetarian options;delivery;NaN;Casual,Cosy;Groups;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;12:00:00;20:00:00;0
Fabryka Spaghetti;Szczytnicka 54/1D, 50-382 Wrocław;https://www.fabrykaspaghetti.pl/;51.1128867;17.0559376;2,9;69;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;12:00:00;19:00:00;Closed;Closed;0
Cybermachina;Szczytnicka 52, 50-382 Wrocław;https://www.facebook.com/Cybermachina;51.1129667;17.055764;4,6;528;Bar games;NaN;Beer;NaN;toilet;Casual,Cosy;NaN;NaN;14:00:00;01:00:00;14:00:00;01:00:00;14:00:00;01:00:00;14:00:00;04:00:00;14:00:00;04:00:00;14:00:00;04:00:00;14:00:00;01:00:00;1
Pici Pasta Wratislavia;Szczytnicka 38 b, 50-382 Wrocław;https://www.facebook.com/PiciPastaWratislavia/;51.1133305;17.0542896;4,6;31;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;17:30:00;11:00:00;17:30:00;11:00:00;17:30:00;11:00:00;17:30:00;11:00:00;17:30:00;12:00:00;20:00:00;Closed;Closed;0
Like It;Szczytnicka 36a, 48-300 Wrocław;https://www.facebook.com/LikeItSzczytnicka/;51.1133571;17.0541022;4,5;71;NaN;NaN;NaN;NaN;NaN;Cosy,Casual;NaN;debit card;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;Closed;Closed;Closed;Closed;0
Przełam Lody;Curie-Skłodowskiej 91, 50-001 Wrocław;https://www.facebook.com/Prze%C5%82am-Lody-Cafe-1580912612180630/;51.1082989;17.0683133;4,5;473;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:30:00;21:00:00;09:30:00;21:00:00;09:30:00;21:00:00;09:30:00;21:00:00;09:30:00;21:00:00;09:30:00;21:00:00;09:30:00;21:00:00;0
Restauracja Przystanek ZOO | Wrocław;Wróblewskiego 1, 51-618 Wrocław;http://www.przystanekzoo.pl/;51.1070841;17.0712675;4,1;295;NaN;Wheelchair accessible entrance;Beer,Wine;Breakfast,Lunch,Dinner;bar onsite,Good for kids;Casual,Cosy,Trending;Groups;debit card;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;10:00:00;20:00:00;0
ZaZoo Beach Bar;Wybrzeże Wyspiańskiego 39E, 50-370 Wrocław;https://www.facebook.com/ZaZooBeachBar;51.1045223;17.0688221;4,5;581;Great cocktails;NaN;Beer,Wine;NaN;toilet;Casual,Cosy,Trending;Groups;NaN;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;00:00:00;0
